cleaned_method,target_block,tokens_in_method
"def file_reader(file_path: str):
    length = int(os.stat(file_path).st_size)
    offset = 0
    while offset < length:
        bytes_to_read = min((length - offset), MAX_BLOB_SIZE - 1)
        if not bytes_to_read:
            break
        blob_bytes = await asyncio.get_event_loop().run_in_executor(
            None, read_bytes, file_path, offset, bytes_to_read
        )
        yield blob_bytes
        offset += bytes_to_read
",if not bytes_to_read :,145
"def is_macro_call(form, ctx):
    if rt.seq_QMARK_(form) is true and isinstance(rt.first(form), symbol.Symbol):
        name = rt.name(rt.first(form))
        if resolve_local(ctx, name):
            return None
        var = resolve_var(ctx, rt.first(form))
        if var and var.is_defined():
            val = var.deref()
            if isinstance(val, code.BaseCode) and val.is_macro():
                return val
    return None
","if isinstance ( val , code . BaseCode ) and val . is_macro ( ) :",143
"def read_password():
    while True:
        first = getpass.getpass(""password: "")
        if len(first) < 8:
            print(""Passwords must be at least eight characters."")
            continue
        second = getpass.getpass("" (again): "")
        if first != second:
            print(""Passwords not the same. Try again."")
            continue
        break
    return first
",if first != second :,101
"def _unpack_opargs(code):
    extended_arg = 0
    for i in range(0, len(code), 2):
        op = code[i]
        if op >= HAVE_ARGUMENT:
            arg = code[i + 1] | extended_arg
            extended_arg = (arg << 8) if op == EXTENDED_ARG else 0
        else:
            arg = None
        yield (i, op, arg)
",if op >= HAVE_ARGUMENT :,111
"def test_client_path(datasette, prefix, expected_path):
    original_base_url = datasette._settings[""base_url""]
    try:
        if prefix is not None:
            datasette._settings[""base_url""] = prefix
        response = await datasette.client.get(""/asgi-scope"")
        path = response.json()[""path""]
        assert path == expected_path
    finally:
        datasette._settings[""base_url""] = original_base_url
",if prefix is not None :,122
"def to_dict(self):
    ret = {}
    for attr in self.__slots__:
        value = getattr(self, attr, None)
        if value is None:
            continue
        if isinstance(value, dict) and len(value) == 0:
            continue
        ret[attr] = value
    ret[""type""] = int(self.type)
    if self.emoji:
        ret[""emoji""] = self.emoji.to_dict()
    return ret
","if isinstance ( value , dict ) and len ( value ) == 0 :",120
"def test_opdm_to_ohdm_mapping():
    db = opdm_to_ohdm_mapping(6)
    for dbe in db:
        assert isinstance(dbe, DualBasisElement)
        assert set(dbe.primal_tensors_names) == {""ck"", ""kc""}
        if len(dbe.primal_tensors_names) == 4:
            assert np.allclose(dbe.primal_coeffs, 0.5)
            assert np.isclose(dbe.dual_scalar, 0.0)
        elif len(dbe.primal_tensors_names) == 2:
            assert np.allclose(dbe.primal_coeffs, 1.0)
            assert np.isclose(dbe.dual_scalar, 1.0)
",if len ( dbe . primal_tensors_names ) == 4 :,196
"def replaceDerived(startSite=self):
    if not allDerived:
        return
    for derivedSite in startSite.derivation.chain():
        for subsite in derivedSite.recurse(streamsOnly=True, includeSelf=True):
            if subsite in target.sites:
                subsite.replace(target, replacement, recurse=recurse, allDerived=False)
",if subsite in target . sites :,94
"def decode(self, session_data):
    encoded_data = base64.b64decode(force_bytes(session_data))
    try:
        # could produce ValueError if there is no ':'
        hash, pickled = encoded_data.split(b"":"", 1)
        expected_hash = self._hash(pickled)
        if not constant_time_compare(hash.decode(), expected_hash):
            raise SuspiciousOperation(""Session data corrupted"")
        else:
            return pickle.loads(pickled)
    except Exception:
        # ValueError, SuspiciousOperation, unpickling exceptions. If any of
        # these happen, just return an empty dictionary (an empty session).
        return {}
","if not constant_time_compare ( hash . decode ( ) , expected_hash ) :",170
"def _change_case(col: str, case_type: str) -> str:
    """"""Change case of a column name.""""""
    case_types = [""preserve"", ""upper"", ""lower"", ""snake""]
    if case_type.lower() not in case_types:
        raise JanitorError(f""case_type must be one of: {case_types}"")
    if case_type.lower() != ""preserve"":
        if case_type.lower() == ""upper"":
            col = col.upper()
        elif case_type.lower() == ""lower"":
            col = col.lower()
        elif case_type.lower() == ""snake"":
            col = _camel2snake(col)
    return col
","elif case_type . lower ( ) == ""snake"" :",182
"def eval_sexp_str(sexp_str):
    sr = SexpReader(InputPort(StringIO(sexp_str)))
    while True:
        sexp = sr.get_sexp()
        if sexp is None:
            break
        if sexp is EOF:
            break
        if sexp is COMMENT:
            continue
        py_ast = translator.translate_sexp(tuple_it(sexp))
        if py_ast is not None:
            code = compile(py_ast, ""<string>"", ""exec"")
            if code is not None:
                exec(code, global_env)
",if py_ast is not None :,163
"def refresh(self):
    """"""Get default value from a boto3 call for free tier instance type.""""""
    if not self.value:
        scheduler = self.pcluster_config.get_section(""cluster"").get_param_value(
            ""scheduler""
        )
        if scheduler:
            self.value = (
                ""optimal"" if scheduler == ""awsbatch"" else get_default_instance_type()
            )
",if scheduler :,111
"def split_row(row):
    new_row_0 = []
    new_row_1 = []
    for index, el in enumerate(row):
        if index in target_columns_0:
            new_row_0.append(el)
        elif index in target_columns_1:
            new_row_1.append(el)
        else:
            new_row_0.append(el)
            new_row_1.append(el)
    return [new_row_0, new_row_1]
",if index in target_columns_0 :,138
"def connector(sender, instance, created, **kw):
    # Only email new announcements in a group. We don't want to email everyone.
    if created and instance.group:
        from kitsune.announcements.tasks import send_group_email
        now = datetime.now()
        if instance.is_visible():
            send_group_email.delay(instance.pk)
        elif now < instance.show_after:
            send_group_email.delay(instance.pk, eta=instance.show_after)
",elif now < instance . show_after :,133
"def addon_requirements(ctx):
    """"""Install all addon requirements.""""""
    for directory in os.listdir(settings.ADDON_PATH):
        path = os.path.join(settings.ADDON_PATH, directory)
        requirements_file = os.path.join(path, ""requirements.txt"")
        if os.path.isdir(path) and os.path.isfile(requirements_file):
            print(""Installing requirements for {0}"".format(directory))
            ctx.run(
                pip_install(requirements_file, constraints_file=CONSTRAINTS_PATH),
                echo=True,
            )
    print(""Finished installing addon requirements"")
",if os . path . isdir ( path ) and os . path . isfile ( requirements_file ) :,169
"def _get_command_help(self, commands):
    help_str = """"
    for name, mod in commands.items():
        mod_help = self._get_help(mod)
        if not mod_help:
            help_str += f""{name}\n""
        else:
            help_str += f""{name} - {mod_help}\n""
    return help_str.strip()
",if not mod_help :,103
"def stringify(self, token_indices):
    # Used in metric reporter to convert from tokens to string
    res = """"
    if hasattr(self, ""vocab""):
        res = "" "".join([self.vocab._vocab[index] for index in token_indices])
        if hasattr(self, ""tokenizer""):
            if hasattr(self.tokenizer, ""decode""):
                res = self.tokenizer.decode(res)
    return res
","if hasattr ( self . tokenizer , ""decode"" ) :",106
"def load_info(cls, path, load_model_if_required=True) -> dict:
    load_path = path + cls.model_info_name
    try:
        return load_pkl.load(path=load_path)
    except:
        if load_model_if_required:
            model = cls.load(path=path, reset_paths=True)
            return model.get_info()
        else:
            raise
",if load_model_if_required :,115
